corrida,modo,conexion,latencia_s
1,MISS,keepalive,0.004809
1,HIT,keepalive,0.002438
1,HIT,keepalive,0.001472
1,HIT,keepalive,0.001527
1,HIT,keepalive,0.001667
1,HIT,keepalive,0.001598
1,HIT,keepalive,0.001634
1,HIT,keepalive,0.001483
1,HIT,keepalive,0.001783
1,HIT,keepalive,0.001457
1,HIT,keepalive,0.001769
1,HIT,keepalive,0.001859
1,HIT,keepalive,0.001682
1,HIT,keepalive,0.001722
1,HIT,keepalive,0.001672
1,HIT,keepalive,0.001540
1,HIT,keepalive,0.001548
1,HIT,keepalive,0.001420
1,HIT,keepalive,0.001451
1,HIT,keepalive,0.001432
1,HIT,keepalive,0.001539
1,MISS,close,0.004082
1,HIT,close,0.002037
1,HIT,close,0.001712
1,HIT,close,0.001534
1,HIT,close,0.001809
1,HIT,close,0.001490
1,HIT,close,0.001610
1,HIT,close,0.001502
1,HIT,close,0.001678
1,HIT,close,0.001406
1,HIT,close,0.001624
1,HIT,close,0.001424
1,HIT,close,0.001472
1,HIT,close,0.001826
1,HIT,close,0.001627
1,HIT,close,0.001675
1,HIT,close,0.001852
1,HIT,close,0.001443
1,HIT,close,0.001352
1,HIT,close,0.001425
1,HIT,close,0.001604
2,MISS,keepalive,0.004308
2,HIT,keepalive,0.002036
2,HIT,keepalive,0.001454
2,HIT,keepalive,0.001531
2,HIT,keepalive,0.001695
2,HIT,keepalive,0.001522
2,HIT,keepalive,0.001710
2,HIT,keepalive,0.001674
2,HIT,keepalive,0.001403
2,HIT,keepalive,0.001723
2,HIT,keepalive,0.001517
2,HIT,keepalive,0.001456
2,HIT,keepalive,0.001649
2,HIT,keepalive,0.001489
2,HIT,keepalive,0.001728
2,HIT,keepalive,0.001537
2,HIT,keepalive,0.001423
2,HIT,keepalive,0.001680
2,HIT,keepalive,0.001630
2,HIT,keepalive,0.001495
2,HIT,keepalive,0.001358
2,MISS,close,0.004483
2,HIT,close,0.002136
2,HIT,close,0.001612
2,HIT,close,0.001680
2,HIT,close,0.001445
2,HIT,close,0.001551
2,HIT,close,0.001579
2,HIT,close,0.001403
2,HIT,close,0.001493
2,HIT,close,0.001687
2,HIT,close,0.001598
2,HIT,close,0.001517
2,HIT,close,0.001590
2,HIT,close,0.001516
2,HIT,close,0.001577
2,HIT,close,0.001514
2,HIT,close,0.001782
2,HIT,close,0.001583
2,HIT,close,0.001517
2,HIT,close,0.001556
2,HIT,close,0.001541
3,MISS,keepalive,0.004267
3,HIT,keepalive,0.002106
3,HIT,keepalive,0.001701
3,HIT,keepalive,0.001424
3,HIT,keepalive,0.001497
3,HIT,keepalive,0.001459
3,HIT,keepalive,0.001614
3,HIT,keepalive,0.001790
3,HIT,keepalive,0.001515
3,HIT,keepalive,0.001573
3,HIT,keepalive,0.001477
3,HIT,keepalive,0.001388
3,HIT,keepalive,0.001611
3,HIT,keepalive,0.001405
3,HIT,keepalive,0.001450
3,HIT,keepalive,0.001628
3,HIT,keepalive,0.001589
3,HIT,keepalive,0.001435
